update,timestep,win_rate,avg_points,pg_loss,value_loss,entropy,total_loss,fps,eval_win_rate,eval_avg_points
10,40960,0.47,60.46,-0.012922644178615883,0.2831018567085266,0.11631615506485105,0.12281247647479177,2166.6153763442717,,
20,81920,0.51,59.86,-0.015729727972939145,0.2800857156980783,0.13909888395573944,0.11735818511806428,2167.721933515689,0.38,64.46
30,122880,0.4,58.22,-0.017484803964180173,0.25883047515526414,0.16443596151657403,0.10370863520074636,2128.561217700913,,
40,163840,0.43,56.18,-0.019767187259276398,0.25653172726742923,0.2003117217682302,0.09848309063818306,2143.568908390482,0.44,60.99
50,204800,0.54,63.18,-0.020886479738692287,0.28795025893487036,0.22792322048917413,0.11169248906662688,2126.1054240891867,,
60,245760,0.52,60.94,-0.022561789370229235,0.29247508058324456,0.2535609994083643,0.1109977014712058,2136.1256454301597,0.38,59.62
70,286720,0.48,60.99,-0.02225471189376549,0.2778957528062165,0.2837788052856922,0.10250422358512878,1923.061314329765,,
80,327680,0.49,61.59,-0.02482136444450589,0.26867796876467764,0.2950626586098224,0.0947644867701456,1832.1088186972672,0.4,61.04
90,368640,0.58,63.01,-0.025534629327012226,0.28266823408193886,0.32311694603413343,0.09964363952167332,1849.4077946017662,,
100,409600,0.53,61.99,-0.026739548076875508,0.2514609065838158,0.34071781300008297,0.08195501507725567,1873.287496634204,0.44,59.11
110,450560,0.53,60.47,-0.026938883729599183,0.2808898405637592,0.36368467938154936,0.09532180277165025,1887.1713909732832,,
120,491520,0.48,59.8,-0.02853968643466942,0.2727698392700404,0.38211211608722806,0.08873962645884603,1908.400671060844,0.49,60.11
130,532480,0.56,64.4,-0.030168018658514484,0.26382722426205873,0.4095002473331988,0.081270580238197,1919.0044700221697,,
140,573440,0.45,57.5,-0.030060522884014063,0.2515963581390679,0.40795073052868247,0.0753401187248528,1935.1941585219076,0.49,61.25
150,614400,0.47,58.81,-0.02989771780994488,0.257798436563462,0.4350262670777738,0.07725018696510233,1942.9363508973568,,
160,655360,0.51,59.9,-0.030492560013954062,0.26317902677692473,0.43885884433984756,0.07915401094942354,1954.2898346737838,0.46,61.09
170,696320,0.52,63.34,-0.03061347426410066,0.2640604928601533,0.44525384716689587,0.07915407899417914,1960.234206802431,,
180,737280,0.46,59.91,-0.029564790621407155,0.26380218379199505,0.4528869790956378,0.07969195157056674,1971.224111587025,0.48,64.91
190,778240,0.61,67.42,-0.03103667782852426,0.26267889328300953,0.4641121462918818,0.07709716045064852,1975.5886014010139,,
200,819200,0.55,61.58,-0.029285127871844452,0.256402256898582,0.45965410815551877,0.07593329448718578,1983.886604113703,0.39,64.19
210,860160,0.6,65.71,-0.03071794992138166,0.2652842227835208,0.4631458455696702,0.07876686818781309,1986.7746613595057,,
220,901120,0.51,60.13,-0.0326586031660554,0.2676412721630186,0.47461915109306574,0.07743107495480217,1994.7423816882902,0.37,60.74
230,942080,0.54,60.71,-0.031245234935340704,0.277271838625893,0.48067571548745036,0.08335689810337499,1997.6135572254734,,
240,983040,0.51,62.26,-0.03225142167866579,0.27035475126467645,0.4818374519236386,0.07883408071938902,2004.8881531985564,0.39,64.8
250,1024000,0.55,62.75,-0.032026934964960674,0.26217529783025384,0.48898429283872247,0.07461149810114875,2007.2251964707311,,
260,1064960,0.55,62.83,-0.032071388624899555,0.249885736964643,0.4886069009080529,0.06844113397528417,2012.8052382938715,0.42,65.15
270,1105920,0.4,56.08,-0.03160203425795771,0.26207855297252536,0.47755542024970055,0.07555947086075321,2014.834188577726,,
280,1146880,0.49,60.14,-0.031678801897214726,0.2676781606860459,0.48312964756041765,0.07800379634136334,2021.5452743005803,0.41,61.82
290,1187840,0.61,64.98,-0.031675094658567104,0.2538200835697353,0.4854233576916158,0.07096377928974107,2023.2757212494782,,
300,1228800,0.57,64.48,-0.031401138614455704,0.2874783272854984,0.4768200879916549,0.08849702082807198,2028.9744206703642,0.5,56.07
310,1269760,0.48,56.62,-0.032331814036297146,0.2637912714853883,0.49493800615891814,0.07481692073633894,2029.7239953297744,,
320,1310720,0.6,63.75,-0.032383722689701244,0.2558245840482414,0.481320614926517,0.071462537831394,2034.389618938438,0.42,65.97
330,1351680,0.55,63.31,-0.031228387393639423,0.2840423851739615,0.48785223299637437,0.08640019287122414,2035.5949274877464,,
340,1392640,0.48,60.82,-0.032709280705603305,0.27587452437728643,0.50051494454965,0.08020223354105838,2040.2488495506877,0.5,65.22
350,1433600,0.45,58.45,-0.032926320516708074,0.26433130260556936,0.4984660833142698,0.07431602562428452,2041.9917450756545,,
360,1474560,0.52,60.95,-0.031536995360511355,0.27092485944740474,0.47805179050192237,0.08002284489339218,2046.0416388424073,0.42,62.09
370,1515520,0.53,64.92,-0.0330499244882958,0.2699874558020383,0.47612868901342154,0.07813736860407516,2047.0779418449777,,
380,1556480,0.57,64.06,-0.03124832094545127,0.26150760194286704,0.48194336565211415,0.07540831074584275,2050.9367400741485,0.48,55.88
390,1597440,0.53,61.49,-0.03181588802544866,0.2615685968194157,0.4772497471421957,0.07510592279140837,2051.8129488543814,,
400,1638400,0.48,61.4,-0.033855612673505675,0.28234613221138716,0.4839079724624753,0.08312205463880673,2055.1310149792635,0.42,66.81
410,1679360,0.57,63.33,-0.03201554198312806,0.27411139057949185,0.48226845636963844,0.08092673029750586,2055.2651255754276,,
420,1720320,0.42,58.25,-0.03232218386256136,0.2657753173261881,0.4736458617262542,0.07688318152213469,2058.754921075456,0.43,56.82
430,1761280,0.65,68.87,-0.0323278126452351,0.2489812634885311,0.47437322000041604,0.06844415739760734,2058.959290062822,,
440,1802240,0.54,60.94,-0.03206136653170688,0.27419655909761786,0.47789138462394476,0.08114234302775003,2062.1959512738713,0.42,59.05
450,1843200,0.44,60.66,-0.03322733350069029,0.2776032395195216,0.475232127122581,0.08181267956388183,2062.6004127469073,,
460,1884160,0.5,61.39,-0.03292383498774143,0.28146703843958676,0.4622733653523028,0.08469601575052366,2065.2350342126865,0.43,63.16
470,1925120,0.54,61.55,-0.0326571551613597,0.2797135941218585,0.4617112120613456,0.08411408093525097,2065.5969724221577,,
480,1966080,0.51,60.15,-0.03085448686761083,0.2701418842189014,0.4698277679271996,0.08072506659664214,2068.1938561704396,0.48,61.09
