update,timestep,win_rate,avg_points,pg_loss,value_loss,entropy,total_loss,fps,eval_win_rate,eval_avg_points
10,10240,0.56,60.29,2.6512076146900654e-05,0.20381461828947067,0.22246147692203522,0.09970920672640204,938.3273269367688,,
20,20480,0.61,65.22,-0.0010982120875269175,0.16066029481589794,0.13391692703589797,0.07789276610128582,995.827069313106,0.37,62.83
30,30720,0.62,61.46,0.006441712379455566,0.1632659500464797,0.1230155760422349,0.08684453088790178,962.195566434916,,
40,40960,0.53,60.32,-0.0027620497858151793,0.2077362360432744,0.11111941281706095,0.09999487409368157,994.6789760613281,0.32,65.84
50,51200,0.54,62.0,-0.00170464493567124,0.1931459829211235,0.09029127284884453,0.09396543516777456,976.0916175886185,,
60,61440,0.45,56.64,-0.0010839388123713434,0.17476313188672066,0.0736829771194607,0.08556079724803567,994.3144372769832,0.42,60.19
70,71680,0.48,61.53,0.0009185712842736393,0.19206127990037203,0.07479481934569776,0.09620126383379102,985.9934367002086,,
80,81920,0.56,65.3,1.1851079761981964e-06,0.19151708483695984,0.07761007524095476,0.09498362895101309,999.1125152089578,0.38,56.03
90,92160,0.57,63.1,-0.00317964400164783,0.17697437200695276,0.07822736166417599,0.08452526805922389,992.6718677470265,,
100,102400,0.52,63.9,-0.0011208358191652223,0.20095378905534744,0.07355385133996606,0.09862052090466022,1004.5410973405162,0.35,60.44
110,112640,0.53,62.77,-0.0007313554524444044,0.09310694923624396,0.07304148934781551,0.045091703650541604,997.309815311698,,
120,122880,0.52,63.85,5.6974939070641994e-05,0.19532513339072466,0.0817563256714493,0.09690197743475437,1007.4675918039256,0.41,66.83
130,133120,0.49,62.93,0.0002605139743536711,0.21067726612091064,0.08211066434159875,0.10477804020047188,1002.0809081099168,,
140,143360,0.59,63.94,-0.014303289644885808,0.15796149102970958,0.34737956523895264,0.06120365974493325,1008.1345009541136,0.33,61.04
150,153600,0.48,61.13,0.0038909948780201375,0.19187630526721478,0.21132524218410254,0.09771589562296867,1001.5694816667689,,
160,163840,0.54,64.31,0.0031971808057278395,0.1411984981968999,0.20266988314688206,0.07176973088644445,1005.7295383971122,0.29,62.68
170,174080,0.51,63.7,0.002379199519054964,0.15425209840759635,0.2280687838792801,0.07722456101328135,1001.3391953537091,,
180,184320,0.43,60.58,-0.004700864985352382,0.14379471354186535,0.23871011938899755,0.06480939104221761,1007.6229758139189,0.33,65.51
190,194560,0.49,58.91,0.0014198552671587095,0.15108907083049417,0.13788521802052855,0.07558553875423968,1001.6150239965798,,
200,204800,0.55,65.42,-0.002937169512733817,0.15745455445721745,0.14620687160640955,0.07432803837582469,1000.3684111235884,0.29,62.45
210,215040,0.52,62.83,-0.003986422496382147,0.16010790038853884,0.1966443257406354,0.074101084144786,993.0796221200814,,
220,225280,0.58,65.26,-0.004485924349864945,0.20521202217787504,0.23911351151764393,0.09572895267046988,995.881785214861,0.34,60.84
230,235520,0.54,64.7,0.0022497769314213656,0.15837440406903625,0.16083177411928773,0.07982866046950221,991.4534715893986,,
240,245760,0.56,63.92,-0.0036281444772612303,0.1255130753852427,0.20670539047569036,0.05706133844796568,993.7542877635374,0.36,63.82
250,256000,0.5,60.93,-0.005767861061030999,0.166311324108392,0.16778937727212906,0.07570990663953125,989.7817007507676,,
260,266240,0.43,56.69,-0.009222434571711347,0.11466096248477697,0.22601973824203014,0.04584784945473075,992.5713463863169,0.37,62.64
270,276480,0.55,64.44,0.004839421977521852,0.18866530805826187,0.15313501004129648,0.09764072578400373,990.0682045007087,,
280,286720,0.59,63.32,0.029248949780594558,0.17272881977260113,0.17554890736937523,0.11385787092149258,993.6749208462203,0.36,60.16
290,296960,0.52,62.38,-0.006523529416881502,0.17505215015262365,0.1792344292625785,0.07921020197682083,989.661329577528,,
300,307200,0.49,56.96,0.01261298792087473,0.17034660652279854,0.15010642260313034,0.09628522559069097,990.1290024579131,0.25,62.04
310,317440,0.55,60.13,-0.008129058580379933,0.15672637009993196,0.1460230816155672,0.06877389596775174,982.7101436227806,,
320,327680,0.59,64.08,-0.00012291301391087472,0.14413273613899946,0.2480192855000496,0.06946326280012727,986.430711639013,0.4,62.71
330,337920,0.54,61.78,-0.007742985326331109,0.16149883484467864,0.21765484288334846,0.0708298843819648,984.6687370426731,,
340,348160,0.47,61.57,-0.005063765827799216,0.20616761222481728,0.24668696895241737,0.09555316949263215,987.797659201655,0.42,60.0
350,358400,0.55,62.05,-0.005396627937443554,0.17402400355786085,0.16951555013656616,0.07992021949030459,986.1325728572642,,
360,368640,0.53,60.82,-0.0015470146900042892,0.16910274047404528,0.13645324436947703,0.08163982280530035,988.8234817258939,0.32,60.96
370,378880,0.5,60.58,0.003174026351189241,0.1628760937601328,0.14306471310555935,0.08318142592906952,987.5658577070309,,
380,389120,0.4,55.33,-0.005271685920888558,0.19245281629264355,0.1822101166471839,0.08913262258283794,991.1255634862122,0.4,63.71
390,399360,0.55,65.86,-0.002383644226938486,0.16337057575583458,0.24028547387570143,0.07689878763630986,989.7177153444283,,
400,409600,0.6,65.93,-0.004824513656785712,0.15763067081570625,0.1987954443320632,0.0720028665382415,992.1995595514073,0.37,63.75
410,419840,0.54,61.18,0.002661132748471573,0.15289237396791577,0.1694340230897069,0.07741297874599695,989.9982805398809,,
420,430080,0.48,57.34,-0.0076001533307135105,0.18265666346997023,0.15522397682070732,0.08217593794688582,992.7550695765683,0.43,59.68
430,440320,0.53,60.9,-0.0026241194282192737,0.1386609454639256,0.19603432435542345,0.06474601035006344,991.3981033767042,,
440,450560,0.49,60.93,-0.012272919411771,0.17950860690325499,0.24103731755167246,0.07507101073861122,994.1488603134667,0.32,63.05
450,460800,0.57,62.28,0.00641887667006813,0.1469972738996148,0.17796576488763094,0.07813785620965064,993.0155352247907,,
460,471040,0.49,60.83,-0.0018096932035405189,0.16317656077444553,0.2122141718864441,0.07765644555911422,995.2273356120769,0.38,60.63
470,481280,0.61,67.97,0.0003046802885364741,0.18504675012081861,0.18741332553327084,0.09095392236486077,994.1052882855954,,
480,491520,0.53,62.24,-0.0036856662336504087,0.19750346336513758,0.2217731736600399,0.09284833422861993,996.9786944195125,0.39,65.57
490,501760,0.57,61.8,-0.007876715826569125,0.15392785938456655,0.2301251608878374,0.06678596208803356,995.8237261092786,,
500,512000,0.56,62.3,-0.01307330362033099,0.16822224482893944,0.22838064469397068,0.06875401269644499,998.0105137469423,0.39,59.84
510,522240,0.58,64.22,-0.0045209234522189945,0.17068528523668647,0.18574600387364626,0.0789642590098083,996.5860966438634,,
520,532480,0.51,59.18,-0.0029726612847298384,0.16820781212300062,0.174228404648602,0.07938896073028445,998.7333545904976,0.43,65.41
530,542720,0.45,59.09,-0.0054100462584756315,0.16738819237798452,0.1691083526238799,0.0765929666813463,997.7945658927524,,
540,552960,0.52,62.17,-0.0038015873869881034,0.17991377785801888,0.08875653240829706,0.08526773657649755,1000.2154776475143,0.36,64.29
550,563200,0.51,59.07,-0.0025923405773937702,0.15922741871327162,0.14247592026367784,0.07559660892002285,999.2853475569987,,
560,573440,0.53,61.99,-0.001485749933635816,0.1575326295569539,0.15689855720847845,0.07571157906204462,1001.2842779087989,0.43,65.38
570,583680,0.52,61.18,-0.004735963069833815,0.13714591972529888,0.089692750480026,0.06294006947427988,1000.4150014965251,,
