update,timestep,win_rate,avg_points,pg_loss,value_loss,entropy,total_loss,fps,eval_win_rate,eval_avg_points
10,10240,0.52,58.95,-0.013214494421845302,0.1466499138623476,0.7633977308869362,0.05247648514341563,3682.5364440985854,,
20,20480,0.58,63.71,-0.01685458270367235,0.17385421134531498,0.7493810430169106,0.06257871224079281,3639.3821053227407,0.47,58.78
30,30720,0.42,57.26,-0.01665909495204687,0.17220878321677446,0.776215948164463,0.06168313755188137,3236.1334488622097,,
40,40960,0.43,54.72,-0.014364177011884749,0.16436165384948254,0.7094152681529522,0.06072249705903232,3340.5707441631052,0.5,58.26
50,51200,0.52,62.64,-0.01624430195079185,0.18085370678454638,0.6849853657186031,0.06733269756659865,3034.5028040573766,,
60,61440,0.46,58.82,-0.015103892801562324,0.15226712124422193,0.6306701302528381,0.05472296674270183,2869.925145612502,0.5,56.6
70,71680,0.4,56.38,-0.019390943052712828,0.1665237881243229,0.6769658252596855,0.05710129369981587,2548.1268092823375,,
80,81920,0.55,60.76,-0.015315786527935416,0.15860225399956107,0.6471429280936718,0.057513911509886384,2383.6868586391406,0.39,56.72
90,92160,0.54,62.62,-0.015893650677753612,0.16946375835686922,0.6765358708798885,0.06207287032157183,2179.1210351554855,,
100,102400,0.43,56.57,-0.012009609257802367,0.13009144086390734,0.5761151351034641,0.04727496090345085,2061.4991770067836,0.46,59.27
110,112640,0.49,60.63,-0.010515449568629265,0.12376602925360203,0.5483699794858694,0.04588386544492096,1766.3011247032819,,
120,122880,0.48,60.43,-0.01350195292616263,0.13156797783449292,0.5417713969945908,0.04686432261951268,1819.895934351892,0.51,58.83
130,133120,0.49,61.74,-0.012402454391121864,0.14220290537923574,0.5291506107896566,0.05340749176684767,1865.049964446035,,
140,143360,0.43,58.42,-0.014591133309295401,0.1861107312142849,0.5113527569919825,0.07335070427507162,1929.7333252553283,0.51,61.76
150,153600,0.44,57.4,-0.0147234748583287,0.14517150493338704,0.542023004963994,0.05244204809423536,1965.7510330523696,,
160,163840,0.46,60.38,-0.014999601466115564,0.15224306099116802,0.534335957840085,0.05577856965828687,2024.4755816645893,0.6,68.72
170,174080,0.52,63.06,-0.013107643579132855,0.13637041207402945,0.4786591846495867,0.05029097117949277,2050.631311856624,,
180,184320,0.47,59.63,-0.01359801518265158,0.14939517760649323,0.47572568990290165,0.05634231667499989,2098.805116471377,0.47,60.29
190,194560,0.47,58.54,-0.013304689258802682,0.16608270071446896,0.44704693369567394,0.06526619172655046,2124.1886880329253,,
200,204800,0.48,58.77,-0.013732691470067948,0.17539029940962791,0.40168370120227337,0.06994562107138336,2166.28308041273,0.5,62.01
210,215040,0.49,58.95,-0.013316014257725328,0.18926941137760878,0.385777710005641,0.0774609143845737,2185.3600058332922,,
220,225280,0.52,62.16,-0.012005228330963291,0.12430613534525037,0.3747480623424053,0.046400359249673784,2227.009263040869,0.54,61.79
230,235520,0.5,59.47,-0.012881520262453705,0.1515254727564752,0.40346029959619045,0.05884661269374192,2228.613191165928,,
240,245760,0.57,62.8,-0.011675506961182691,0.11316005559638143,0.4196112025529146,0.04070840904023498,2266.010629112872,0.42,56.82
250,256000,0.53,61.33,-0.013432346459012479,0.12943461444228888,0.45355139672756195,0.04674944665748626,2280.908094982057,,
260,266240,0.47,57.19,-0.013595730910310522,0.1409545629285276,0.4507936853915453,0.05237361416220665,2302.668378829564,0.49,57.83
270,276480,0.45,59.02,-0.011103895667474717,0.13813419500365853,0.4459559749811888,0.05350364337209612,2315.7813184849015,,
280,286720,0.44,59.52,-0.01275441178586334,0.12924842350184917,0.422604164108634,0.04764375800732523,2346.819623592401,0.53,61.94
290,296960,0.46,56.63,-0.013675647191121243,0.13700971473008394,0.4389943927526474,0.05043926683720201,2356.1960061504874,,
300,307200,0.51,56.54,-0.012764668848831207,0.1755875153467059,0.4288193825632334,0.07074089488014579,2383.351227655808,0.42,58.39
310,317440,0.41,57.74,-0.01292401687533129,0.15260640811175108,0.4560631401836872,0.05881855543702841,2392.19743566556,,
320,327680,0.39,55.36,-0.016116041922941804,0.14144026534631848,0.46919833682477474,0.04991210799198598,2416.036849933387,0.47,59.22
330,337920,0.56,61.71,-0.013556272373534739,0.15899153053760529,0.41855771467089653,0.06175391538999975,2423.8243755258,,
340,348160,0.53,61.32,-0.014692733413539827,0.15648653730750084,0.43725066259503365,0.05917802779003978,2449.4428424324774,0.5,61.03
350,358400,0.49,60.65,-0.013708706595934927,0.1296995934098959,0.4266043510288,0.04687504633329809,2453.828153611847,,
360,368640,0.57,63.99,-0.01508075260790065,0.14478109451010823,0.4540592525154352,0.05276920285541564,2474.0859509860447,0.5,59.92
370,378880,0.52,61.77,-0.015769753546919674,0.13201990956440568,0.4511633478105068,0.04572856763843447,2482.061185777037,,
380,389120,0.51,61.75,-0.012292962172068655,0.12611007131636143,0.3961438499391079,0.04680063435807824,2499.875958705748,0.53,63.02
390,399360,0.47,61.72,-0.015042691447888501,0.16990943206474185,0.3782065436244011,0.06612995895557106,2505.4390382889105,,
400,409600,0.59,63.06,-0.01365266612265259,0.13980356650426984,0.3630785848945379,0.05261833156691864,2525.2087213712443,0.47,58.72
410,419840,0.59,63.59,-0.012623681977856904,0.1715292390435934,0.3583076000213623,0.06955786189064384,2526.068903031476,,
420,430080,0.4,56.43,-0.0147331987391226,0.15026291739195585,0.3581828884780407,0.05681643181014806,2544.419090282976,0.46,60.56
430,440320,0.51,61.84,-0.012499242555350065,0.17520204884931445,0.3039836995303631,0.0720619463827461,2547.833891421293,,
440,450560,0.52,61.01,-0.011186577175976709,0.11375579936429858,0.3424345590174198,0.04226697678677738,2564.093758684097,0.45,59.06
450,460800,0.47,57.62,-0.012564511824166402,0.13699168246239424,0.33360155671834946,0.05259531398769468,2566.5453415049324,,
460,471040,0.47,58.07,-0.01247967587551102,0.14589528925716877,0.31056607887148857,0.057362308725714684,2582.3511729018674,0.55,62.66
470,481280,0.39,54.22,-0.010771397792268544,0.15844615455716848,0.31451025418937206,0.06530657666735351,2583.154098307523,,
480,491520,0.46,59.85,-0.012569495258503594,0.13169979769736528,0.31285769678652287,0.050151826813817024,2598.959403676478,0.43,57.53
490,501760,0.56,61.98,-0.01488937169779092,0.13265378074720502,0.35390323027968407,0.04789848637301475,2600.864751311453,,
500,512000,0.46,58.93,-0.011617847136221826,0.1506851715967059,0.3344782367348671,0.060379956383258104,2613.781852090946,0.49,64.33
510,522240,0.47,58.09,-0.011530852469149977,0.1181646017357707,0.3203147519379854,0.04434830055106431,2613.232260748166,,
520,532480,0.5,58.44,-0.016469632100779563,0.15828371793031693,0.31877302192151546,0.05948449589777738,2628.224133158621,0.54,64.41
530,542720,0.43,58.89,-0.01538229052675888,0.13409449718892574,0.3513157553970814,0.04815180064179003,2627.5058466014057,,
540,552960,0.45,58.07,-0.012842963682487607,0.16638253442943096,0.311335027217865,0.06723495200276375,2641.941603127495,0.42,59.01
550,563200,0.46,58.47,-0.01450085043325089,0.1373004810884595,0.32513556256890297,0.05089803459122777,2643.2876175464185,,
560,573440,0.53,61.4,-0.011698108195560053,0.12729819770902395,0.29062052071094513,0.04904478578828275,2653.0711206067826,0.44,58.51
570,583680,0.47,57.93,-0.0130800919723697,0.1622168510220945,0.3363189995288849,0.06466514337807894,2654.5079363902128,,
580,593920,0.47,59.78,-0.012728011613944545,0.09923833655193448,0.3187495917081833,0.033703660883475095,2667.160105943006,0.47,58.53
590,604160,0.6,66.85,-0.011515735444845632,0.14878026489168406,0.3015384655445814,0.05985901283565909,2665.7998755850294,,
600,614400,0.53,63.31,-0.013942458259407431,0.13262145081534982,0.3315383605659008,0.049052883638069034,2678.379878475232,0.55,61.26
610,624640,0.53,61.2,-0.013057955540716648,0.09779121354222298,0.3153713196516037,0.03268393821781501,2678.0612340882462,,
620,634880,0.49,63.25,-0.012254486267920583,0.1223712139762938,0.27917759120464325,0.046139345155097544,2687.1979621792066,0.47,56.53
630,645120,0.54,63.4,-0.011342905345372856,0.1211745678447187,0.3077202755957842,0.04616717656608671,2687.686408582951,,
640,655360,0.43,57.46,-0.013008012785576284,0.1510056722909212,0.3304960001260042,0.059189863968640566,2698.827078189404,0.5,61.37
650,665600,0.52,63.23,-0.010776576062198728,0.13335931533947587,0.31196160428225994,0.05278346664272249,2697.8583840381402,,
660,675840,0.51,62.39,-0.013699069328140467,0.15622100699692965,0.3263531606644392,0.061147902393713593,2708.2605218105386,0.54,64.71
670,686080,0.55,64.02,-0.014096655009780079,0.12497064610943198,0.31899430975317955,0.04519872507080436,2708.6464518164535,,
680,696320,0.5,63.78,-0.01294886675896123,0.1623818539083004,0.2992131356149912,0.06524992734193802,2718.741849110356,0.48,59.01
690,706560,0.55,64.54,-0.014438744867220521,0.1269957609474659,0.31477319076657295,0.04591140407137573,2717.3931651499943,,
700,716800,0.46,58.97,-0.011507731818710454,0.12198049109429121,0.29520613700151443,0.04653045255690813,2727.4105292267045,0.59,66.86
710,727040,0.46,59.6,-0.01451160036958754,0.17104733269661665,0.29889085702598095,0.06802315800450742,2726.9418176874947,,
720,737280,0.49,59.2,-0.012199697608593851,0.12506172712892294,0.32509663701057434,0.04708019981626421,2735.8627985253333,0.53,59.99
730,747520,0.44,57.85,-0.012828440871089697,0.1467975378036499,0.3120170868933201,0.05745015712454915,2735.1930356104754,,
740,757760,0.43,60.34,-0.013465971482219175,0.14563120948150754,0.3092631436884403,0.056257002521306276,2744.0941478095865,0.54,64.43
750,768000,0.5,62.28,-0.011731472332030535,0.12865115189924836,0.30384773574769497,0.04955562693066895,2743.1796052037457,,
760,778240,0.58,61.31,-0.01379607419949025,0.117987428791821,0.3084584027528763,0.042113056289963424,2751.578672718673,0.63,64.69
770,788480,0.5,60.31,-0.012947836512466893,0.11047841468825936,0.31777726486325264,0.039113598759286106,2750.570094369413,,
780,798720,0.54,63.88,-0.011563073261640966,0.13102712016552687,0.3408347722142935,0.05054213886614889,2758.2123253287673,0.54,62.02
790,808960,0.45,57.49,-0.013585489126853645,0.12533525982871652,0.3475623931735754,0.045606516767293215,2756.9407912212428,,
800,819200,0.52,60.78,-0.012988914852030575,0.13471162831410766,0.3511998448520899,0.05085490015335381,2765.7523544579917,0.53,63.82
810,829440,0.56,62.89,-0.014136718265945092,0.1299377428367734,0.3485145512968302,0.04734700883273035,2763.801556251827,,
820,839680,0.49,58.87,-0.012786343693733215,0.13775190152227879,0.35586067102849483,0.052530999993905425,2772.279585578145,0.48,61.89
830,849920,0.57,66.1,-0.014139309496385977,0.12860922142863274,0.3546133618801832,0.046619168017059565,2771.0947997618437,,
840,860160,0.42,58.99,-0.014132144046016037,0.16100785415619612,0.33058558218181133,0.06306592770852149,2778.5840096831685,0.5,60.23
850,870400,0.45,58.52,-0.018876388610806316,0.16031746845692396,0.3828037865459919,0.057454307680018246,2777.963470464407,,
860,880640,0.58,64.68,-0.013607999004307203,0.1313010547310114,0.34732585586607456,0.04856926994398236,2785.032560050994,0.55,62.19
870,890880,0.51,62.58,-0.01114248379599303,0.1258041108958423,0.3591437693685293,0.04816813406068832,2783.639232423544,,
880,901120,0.52,62.41,-0.01361586496932432,0.14189216634258628,0.34264264442026615,0.05390379182063043,2790.9245593716028,0.49,59.04
890,911360,0.52,62.23,-0.013682804070413113,0.14745007129386067,0.33594019152224064,0.056682828231714666,2790.027054114933,,
900,921600,0.48,58.69,-0.012996377132367343,0.13248526910319924,0.316880838945508,0.05007744790054858,2796.9042133573994,0.43,59.08
910,931840,0.58,63.71,-0.01326827469165437,0.10744002321735024,0.32129242084920406,0.037238813180010766,2795.726289516011,,
920,942080,0.5,60.14,-0.012696102319750935,0.11876463051885366,0.3567582853138447,0.04311863030306995,2802.7180957129704,0.51,62.35
930,952320,0.46,60.42,-0.013366347178816795,0.12348340032622218,0.3597841914743185,0.04477751115337014,2800.6964995626854,,
