signature,trump_count,strongest_trump_strength,weakest_trump_strength,max_suit_run,trump_strength_sum,color_aces,total_points,non_trump_points,hand_instances,games,win_rate,win_rate_std,avg_points,hand_example
3-10-7-3-26-1,3,10.0,7.0,3,26,1,31,25,391,0,0.0,0.0,0.0,10_Acorn U_Acorn U_Bell K_Bell A_Bell 7_Acorn U_Leaf 8_Bell
3-13-4-2-29-3,3,13.0,4.0,2,29,3,53,43,11,0,0.0,0.0,0.0,10_Leaf 8_Acorn O_Heart K_Heart A_Bell A_Leaf A_Acorn O_Leaf
2-3-2-3-5-0,2,3.0,2.0,3,5,0,28,28,682,0,0.0,0.0,0.0,8_Leaf 10_Bell 10_Leaf K_Leaf 8_Bell 9_Heart K_Bell 8_Heart
5-13-0-2-36-0,5,13.0,,2,36,0,11,0,730,0,0.0,0.0,0.0,U_Leaf O_Leaf 8_Leaf 7_Heart U_Acorn 7_Bell K_Heart 8_Bell
3-11-8-2-28-1,3,11.0,8.0,2,28,1,26,19,358,0,0.0,0.0,0.0,K_Leaf 8_Bell U_Leaf K_Acorn U_Heart A_Leaf 9_Bell O_Bell
5-14-5-2-43-1,5,14.0,5.0,2,43,1,44,15,124,0,0.0,0.0,0.0,A_Acorn A_Heart O_Bell K_Acorn O_Acorn 8_Leaf U_Bell 10_Heart
1-12-12-3-12-1,1,12.0,12.0,3,12,1,18,15,1975,0,0.0,0.0,0.0,K_Bell O_Heart 7_Leaf 8_Bell 7_Acorn 8_Leaf A_Leaf 7_Bell
4-11-3-3-28-1,4,11.0,3.0,3,28,1,27,11,214,0,0.0,0.0,0.0,7_Acorn A_Heart 8_Leaf U_Heart O_Bell 9_Heart A_Leaf 7_Leaf
5-11-3-2-35-0,5,11.0,3.0,2,35,0,21,10,291,0,0.0,0.0,0.0,O_Bell 9_Heart U_Heart K_Heart U_Leaf 7_Bell 10_Acorn 8_Acorn
4-14-0-2-25-0,4,14.0,,2,25,0,9,4,914,0,0.0,0.0,0.0,7_Acorn 8_Heart K_Leaf 8_Bell O_Acorn U_Leaf 7_Heart 7_Leaf
6-11-0-1-33-0,6,11.0,,1,33,0,21,14,167,0,0.0,0.0,0.0,U_Bell 9_Heart O_Bell 7_Heart U_Acorn 10_Acorn K_Bell 8_Heart
3-14-4-3-30-1,3,14.0,4.0,3,30,1,41,31,400,0,0.0,0.0,0.0,8_Acorn O_Heart K_Heart 10_Acorn A_Acorn O_Acorn 8_Leaf 10_Leaf
3-5-2-3-10-0,3,5.0,2.0,3,10,0,24,14,310,0,0.0,0.0,0.0,8_Leaf 10_Heart 10_Bell 8_Heart 9_Heart 7_Bell 7_Leaf K_Leaf
2-12-11-3-23-1,2,12.0,11.0,3,23,1,31,25,1178,0,0.0,0.0,0.0,A_Bell O_Bell 8_Bell 9_Bell K_Acorn O_Heart 10_Acorn 9_Acorn
3-8-2-3-13-1,3,8.0,2.0,3,13,1,13,11,393,0,0.0,0.0,0.0,8_Acorn 8_Leaf A_Acorn 9_Heart 8_Heart 9_Acorn U_Heart 9_Bell
3-7-0-2-13-1,3,7.0,,2,13,1,28,15,408,0,0.0,0.0,0.0,7_Bell 7_Heart U_Bell A_Leaf K_Leaf 9_Bell 8_Acorn A_Heart
6-14-5-2-62-0,6,14.0,5.0,2,62,0,28,4,13,0,0.0,0.0,0.0,7_Leaf O_Acorn O_Heart K_Leaf O_Leaf U_Bell O_Bell 10_Heart
2-6-5-2-11-1,2,6.0,5.0,2,11,1,50,29,317,0,0.0,0.0,0.0,K_Bell A_Heart K_Acorn 7_Leaf 10_Heart 9_Acorn A_Bell 10_Leaf
3-11-5-3-25-1,3,11.0,5.0,3,25,1,50,35,401,0,0.0,0.0,0.0,K_Leaf A_Leaf U_Leaf O_Bell 9_Acorn 10_Leaf 10_Bell 10_Heart
4-11-6-2-33-0,4,11.0,6.0,2,33,0,26,8,209,0,0.0,0.0,0.0,A_Heart 9_Bell U_Leaf K_Acorn 9_Leaf K_Leaf O_Bell U_Bell
3-8-2-2-14-1,3,8.0,2.0,2,14,1,21,15,360,0,0.0,0.0,0.0,U_Heart A_Acorn 7_Leaf 8_Heart 9_Bell K_Heart 9_Leaf K_Bell
5-13-2-1-33-0,5,13.0,2.0,1,33,0,23,4,168,0,0.0,0.0,0.0,O_Leaf K_Heart K_Bell 8_Leaf 8_Heart 10_Heart 9_Acorn U_Leaf
4-14-3-2-35-0,4,14.0,3.0,2,35,0,36,20,853,0,0.0,0.0,0.0,O_Acorn O_Leaf 10_Leaf 9_Heart 10_Heart 8_Bell 9_Acorn 10_Acorn
4-13-6-2-39-0,4,13.0,6.0,2,39,0,19,0,456,0,0.0,0.0,0.0,O_Bell U_Leaf A_Heart 7_Leaf O_Leaf 9_Acorn 7_Acorn 8_Bell
5-13-4-3-43-0,5,13.0,4.0,3,43,0,36,14,38,0,0.0,0.0,0.0,K_Heart U_Acorn 10_Heart O_Leaf 10_Leaf 8_Leaf K_Leaf O_Bell
3-11-0-2-14-0,3,11.0,,2,14,0,11,8,309,0,0.0,0.0,0.0,7_Heart K_Leaf 7_Acorn O_Bell 9_Acorn 9_Heart K_Bell 9_Bell
