signature,trump_count,strongest_trump_strength,weakest_trump_strength,max_suit_run,trump_strength_sum,color_aces,total_points,non_trump_points,hand_instances,games,win_rate,win_rate_std,avg_points
5-13-4-2-47-2,5,13.0,4.0,2,47,2,47,32,1,50,1.0,0.0,96.16
6-14-6-2-57-0,6,14.0,6.0,2,57,0,27,4,1,50,1.0,0.0,91.72
5-14-3-1-48-2,5,14.0,3.0,1,48,2,32,22,1,50,1.0,0.0,96.66
5-14-9-2-58-1,5,14.0,9.0,2,58,1,34,21,1,50,1.0,0.0,105.24
7-14-6-1-67-0,7,14.0,6.0,1,67,0,35,10,1,50,1.0,0.0,105.6
6-14-5-1-52-2,6,14.0,5.0,1,52,2,53,22,1,50,1.0,0.0,95.58
7-14-0-1-51-0,7,14.0,0.0,1,51,0,24,0,1,50,1.0,0.0,93.6
4-14-4-2-43-1,4,14.0,4.0,2,43,1,44,31,1,50,1.0,0.0,91.7
5-14-3-2-51-1,5,14.0,3.0,2,51,1,32,21,2,50,1.0,0.0,93.04
6-13-7-2-60-0,6,13.0,7.0,2,60,0,19,4,1,50,1.0,0.0,93.42
5-14-0-1-49-1,5,14.0,0.0,1,49,1,32,21,1,50,1.0,0.0,96.2
6-14-4-1-57-1,6,14.0,4.0,1,57,1,36,11,1,50,0.98,0.019798989873223337,100.36
6-14-2-2-59-1,6,14.0,2.0,2,59,1,28,15,1,50,0.98,0.019798989873223337,102.46
5-14-2-1-45-2,5,14.0,2.0,1,45,2,32,22,1,50,0.98,0.019798989873223337,101.52
5-14-7-2-54-1,5,14.0,7.0,2,54,1,34,21,1,50,0.98,0.019798989873223337,95.16
6-14-7-1-62-0,6,14.0,7.0,1,62,0,23,8,1,50,0.98,0.019798989873223337,94.66
5-14-0-1-36-2,5,14.0,0.0,1,36,2,30,22,1,50,0.98,0.019798989873223337,93.66
7-12-3-1-59-1,7,12.0,3.0,1,59,1,34,11,1,50,0.98,0.019798989873223337,100.78
7-13-3-1-52-0,7,13.0,3.0,1,52,0,24,0,1,50,0.98,0.019798989873223337,90.26
7-13-2-1-60-0,7,13.0,2.0,1,60,0,28,4,1,50,0.98,0.019798989873223337,94.82
6-14-3-2-55-0,6,14.0,3.0,2,55,0,32,10,2,50,0.98,0.019798989873223337,92.46
6-14-2-1-54-0,6,14.0,2.0,1,54,0,25,4,2,50,0.98,0.019798989873223337,92.48
6-14-6-1-54-1,6,14.0,6.0,1,54,1,37,15,1,50,0.98,0.019798989873223337,96.76
6-14-3-2-58-0,6,14.0,3.0,2,58,0,17,4,1,50,0.98,0.019798989873223337,94.06
6-13-0-1-38-2,6,13.0,0.0,1,38,2,39,22,1,50,0.98,0.019798989873223337,94.16
7-14-2-1-64-0,7,14.0,2.0,1,64,0,34,10,1,50,0.98,0.019798989873223337,102.2
6-13-4-2-55-0,6,13.0,4.0,2,55,0,20,4,1,50,0.98,0.019798989873223337,88.98
7-14-0-1-59-0,7,14.0,0.0,1,59,0,23,0,1,50,0.98,0.019798989873223337,95.66
6-13-2-2-49-1,6,13.0,2.0,2,49,1,32,11,1,50,0.98,0.019798989873223337,90.98
6-13-2-2-52-1,6,13.0,2.0,2,52,1,23,11,1,50,0.98,0.019798989873223337,92.96
6-14-3-2-63-0,6,14.0,3.0,2,63,0,18,4,1,50,0.98,0.019798989873223337,99.4
6-14-0-1-50-1,6,14.0,0.0,1,50,1,42,21,1,50,0.98,0.019798989873223337,93.62
7-14-4-1-56-0,7,14.0,4.0,1,56,0,39,4,1,50,0.98,0.019798989873223337,95.56
6-14-4-1-63-0,6,14.0,4.0,1,63,0,18,0,1,50,0.98,0.019798989873223337,95.7
7-14-3-1-60-0,7,14.0,3.0,1,60,0,16,0,1,50,0.98,0.019798989873223337,96.14
7-13-3-1-52-1,7,13.0,3.0,1,52,1,35,11,1,50,0.98,0.019798989873223337,92.54
7-14-4-1-62-0,7,14.0,4.0,1,62,0,36,0,1,50,0.98,0.019798989873223337,98.3
6-14-4-1-54-0,6,14.0,4.0,1,54,0,25,0,2,50,0.98,0.019798989873223337,88.88
5-14-2-1-46-2,5,14.0,2.0,1,46,2,42,22,1,50,0.96,0.02771281292110205,94.86
5-13-3-1-42-2,5,13.0,3.0,1,42,2,45,26,1,50,0.96,0.02771281292110205,88.62
6-13-0-1-47-1,6,13.0,0.0,1,47,1,22,11,1,50,0.96,0.02771281292110205,85.54
5-13-2-2-46-1,5,13.0,2.0,2,46,1,22,11,1,50,0.96,0.02771281292110205,88.14
4-12-3-2-35-2,4,12.0,3.0,2,35,2,50,42,1,50,0.96,0.02771281292110205,87.74
5-14-2-1-42-2,5,14.0,2.0,1,42,2,41,22,1,50,0.96,0.02771281292110205,92.56
7-14-0-1-40-1,7,14.0,0.0,1,40,1,28,11,1,50,0.96,0.02771281292110205,87.96
6-13-2-1-50-1,6,13.0,2.0,1,50,1,31,11,1,50,0.96,0.02771281292110205,89.28
5-14-4-1-48-1,5,14.0,4.0,1,48,1,29,15,1,50,0.96,0.02771281292110205,88.26
6-12-5-1-55-1,6,12.0,5.0,1,55,1,37,15,1,50,0.96,0.02771281292110205,90.7
5-14-5-2-51-1,5,14.0,5.0,2,51,1,41,21,1,50,0.96,0.02771281292110205,88.32
7-12-0-1-48-0,7,12.0,0.0,1,48,0,30,0,1,50,0.96,0.02771281292110205,92.06
5-13-2-2-42-1,5,13.0,2.0,2,42,1,30,11,2,50,0.96,0.02771281292110205,84.26
6-12-0-1-43-1,6,12.0,0.0,1,43,1,31,21,1,50,0.96,0.02771281292110205,92.16
5-14-7-2-55-0,5,14.0,7.0,2,55,0,13,0,1,50,0.96,0.02771281292110205,86.14
5-14-7-3-52-0,5,14.0,7.0,3,52,0,17,4,1,50,0.96,0.02771281292110205,85.56
4-14-6-2-42-2,4,14.0,6.0,2,42,2,61,42,1,50,0.96,0.02771281292110205,90.84
6-14-3-1-53-1,6,14.0,3.0,1,53,1,37,15,1,50,0.96,0.02771281292110205,91.54
6-12-5-2-54-1,6,12.0,5.0,2,54,1,43,21,1,50,0.96,0.02771281292110205,91.36
5-14-9-1-57-0,5,14.0,9.0,1,57,0,27,14,1,50,0.96,0.02771281292110205,92.3
5-13-0-1-31-2,5,13.0,0.0,1,31,2,38,22,1,50,0.96,0.02771281292110205,85.78
5-14-3-2-50-1,5,14.0,3.0,2,50,1,32,21,1,50,0.94,0.03358571124749334,91.36
6-14-3-2-55-1,6,14.0,3.0,2,55,1,32,11,1,50,0.94,0.03358571124749334,94.94
5-13-6-1-46-1,5,13.0,6.0,1,46,1,46,25,1,50,0.94,0.03358571124749334,87.86
5-14-4-2-48-1,5,14.0,4.0,2,48,1,36,21,1,50,0.94,0.03358571124749334,90.88
6-14-0-1-45-2,6,14.0,0.0,1,45,2,44,22,1,50,0.94,0.03358571124749334,93.74
6-13-5-1-58-0,6,13.0,5.0,1,58,0,23,0,1,50,0.94,0.03358571124749334,86.52
6-14-2-1-51-1,6,14.0,2.0,1,51,1,36,21,2,50,0.94,0.03358571124749334,93.1
6-14-0-1-54-0,6,14.0,0.0,1,54,0,13,0,1,50,0.94,0.03358571124749334,92.14
5-14-4-1-46-1,5,14.0,4.0,1,46,1,44,21,1,50,0.94,0.03358571124749334,88.74
7-13-3-1-57-0,7,13.0,3.0,1,57,0,31,0,1,50,0.94,0.03358571124749334,94.0
5-13-0-2-43-1,5,13.0,0.0,2,43,1,31,21,1,50,0.94,0.03358571124749334,88.06
5-14-9-2-57-1,5,14.0,9.0,2,57,1,28,15,1,50,0.94,0.03358571124749334,97.0
6-12-6-1-53-1,6,12.0,6.0,1,53,1,38,15,1,50,0.94,0.03358571124749334,91.14
6-14-4-1-52-1,6,14.0,4.0,1,52,1,35,11,1,50,0.94,0.03358571124749334,91.0
3-14-10-3-37-2,3,14.0,10.0,3,37,2,40,32,1,50,0.94,0.03358571124749334,88.62
5-14-0-1-48-0,5,14.0,0.0,1,48,0,11,0,1,50,0.94,0.03358571124749334,86.3
7-14-0-1-50-0,7,14.0,0.0,1,50,0,31,10,1,50,0.94,0.03358571124749334,94.7
5-14-2-2-42-2,5,14.0,2.0,2,42,2,50,32,1,50,0.94,0.03358571124749334,92.42
5-14-2-2-45-1,5,14.0,2.0,2,45,1,41,21,1,50,0.94,0.03358571124749334,90.2
6-14-5-1-59-0,6,14.0,5.0,1,59,0,23,0,1,50,0.94,0.03358571124749334,89.02
6-14-2-1-58-0,6,14.0,2.0,1,58,0,17,4,1,50,0.94,0.03358571124749334,93.04
6-14-5-2-53-1,6,14.0,5.0,2,53,1,42,11,1,50,0.94,0.03358571124749334,88.2
5-13-6-2-50-1,5,13.0,6.0,2,50,1,46,25,2,50,0.94,0.03358571124749334,88.46
6-14-3-2-54-0,6,14.0,3.0,2,54,0,36,14,1,50,0.94,0.03358571124749334,88.5
5-14-6-1-48-1,5,14.0,6.0,1,48,1,42,21,2,50,0.94,0.03358571124749334,90.88
5-14-5-2-52-1,5,14.0,5.0,2,52,1,42,21,2,50,0.94,0.03358571124749334,93.22
5-14-0-2-43-0,5,14.0,0.0,2,43,0,14,4,2,50,0.94,0.03358571124749334,82.86
6-14-3-1-54-0,6,14.0,3.0,1,54,0,12,0,1,50,0.94,0.03358571124749334,87.22
6-13-2-1-44-1,6,13.0,2.0,1,44,1,43,15,1,50,0.94,0.03358571124749334,89.9
7-14-0-1-52-0,7,14.0,0.0,1,52,0,21,0,1,50,0.94,0.03358571124749334,90.54
4-14-3-2-42-1,4,14.0,3.0,2,42,1,24,15,1,50,0.94,0.03358571124749334,84.84
5-14-0-1-44-1,5,14.0,0.0,1,44,1,25,15,1,50,0.94,0.03358571124749334,84.64
6-14-0-1-51-0,6,14.0,0.0,1,51,0,25,4,2,50,0.94,0.03358571124749334,88.54
6-14-3-1-52-0,6,14.0,3.0,1,52,0,12,0,2,50,0.92,0.038366652186501746,86.24
7-14-0-1-46-0,7,14.0,0.0,1,46,0,12,0,1,50,0.92,0.038366652186501746,89.32
6-13-2-2-52-0,6,13.0,2.0,2,52,0,25,4,1,50,0.92,0.038366652186501746,87.18
6-14-0-1-49-0,6,14.0,0.0,1,49,0,28,4,2,50,0.92,0.038366652186501746,86.98
6-13-3-2-51-1,6,13.0,3.0,2,51,1,31,11,1,50,0.92,0.038366652186501746,86.18
5-14-5-2-50-1,5,14.0,5.0,2,50,1,42,21,1,50,0.92,0.038366652186501746,90.5
5-14-8-3-56-0,5,14.0,8.0,3,56,0,27,14,1,50,0.92,0.038366652186501746,90.84
5-14-0-2-36-2,5,14.0,0.0,2,36,2,40,22,1,50,0.92,0.038366652186501746,82.84
7-14-3-1-58-0,7,14.0,3.0,1,58,0,26,4,1,50,0.92,0.038366652186501746,89.9
5-14-6-2-50-1,5,14.0,6.0,2,50,1,37,15,1,50,0.92,0.038366652186501746,85.5
7-13-2-1-55-0,7,13.0,2.0,1,55,0,22,0,1,50,0.92,0.038366652186501746,92.18
6-11-0-1-40-1,6,11.0,0.0,1,40,1,20,11,1,50,0.92,0.038366652186501746,84.1
5-14-0-2-42-2,5,14.0,0.0,2,42,2,32,22,1,50,0.92,0.038366652186501746,87.16
4-14-5-2-37-2,4,14.0,5.0,2,37,2,43,26,2,50,0.92,0.038366652186501746,83.88
6-13-2-1-46-2,6,13.0,2.0,1,46,2,36,22,1,50,0.92,0.038366652186501746,92.38
5-14-3-1-41-1,5,14.0,3.0,1,41,1,39,21,1,50,0.92,0.038366652186501746,86.26
4-14-8-3-46-1,4,14.0,8.0,3,46,1,42,31,1,50,0.92,0.038366652186501746,88.1
6-13-3-2-49-0,6,13.0,3.0,2,49,0,30,10,1,50,0.92,0.038366652186501746,85.5
6-13-0-1-46-1,6,13.0,0.0,1,46,1,31,21,1,50,0.92,0.038366652186501746,90.62
5-14-6-2-53-1,5,14.0,6.0,2,53,1,33,11,1,50,0.92,0.038366652186501746,89.36
6-12-6-1-55-0,6,12.0,6.0,1,55,0,37,14,1,50,0.92,0.038366652186501746,89.72
5-14-2-1-44-1,5,14.0,2.0,1,44,1,31,21,1,50,0.92,0.038366652186501746,85.12
5-13-3-2-42-2,5,13.0,3.0,2,42,2,44,32,1,50,0.92,0.038366652186501746,90.88
5-13-4-2-44-1,5,13.0,4.0,2,44,1,34,11,1,50,0.92,0.038366652186501746,87.2
3-14-11-2-38-2,3,14.0,11.0,2,38,2,35,26,1,50,0.92,0.038366652186501746,83.56
3-14-8-3-34-2,3,14.0,8.0,3,34,2,40,32,1,50,0.92,0.038366652186501746,87.16
5-12-2-1-34-2,5,12.0,2.0,1,34,2,42,22,1,50,0.92,0.038366652186501746,84.1
4-14-9-2-48-1,4,14.0,9.0,2,48,1,32,21,1,50,0.92,0.038366652186501746,85.76
6-13-0-1-30-1,6,13.0,0.0,1,30,1,49,21,1,50,0.92,0.038366652186501746,80.52
6-14-6-1-58-0,6,14.0,6.0,1,58,0,33,10,1,50,0.92,0.038366652186501746,88.3
6-14-2-2-45-1,6,14.0,2.0,2,45,1,33,21,1,50,0.92,0.038366652186501746,88.66
7-13-2-1-56-0,7,13.0,2.0,1,56,0,16,0,1,50,0.92,0.038366652186501746,87.86
4-13-7-2-40-2,4,13.0,7.0,2,40,2,46,36,3,50,0.92,0.038366652186501746,85.36
5-13-5-2-46-2,5,13.0,5.0,2,46,2,46,26,1,50,0.92,0.038366652186501746,89.18
6-14-2-1-51-0,6,14.0,2.0,1,51,0,24,4,1,50,0.92,0.038366652186501746,87.34
6-13-0-2-42-1,6,13.0,0.0,2,42,1,30,21,1,50,0.92,0.038366652186501746,88.06
6-14-6-1-56-1,6,14.0,6.0,1,56,1,34,11,1,50,0.92,0.038366652186501746,93.58
5-14-0-1-43-1,5,14.0,0.0,1,43,1,35,25,1,50,0.92,0.038366652186501746,86.48
5-13-2-1-33-2,5,13.0,2.0,1,33,2,37,22,1,50,0.92,0.038366652186501746,86.3
6-14-2-2-50-0,6,14.0,2.0,2,50,0,21,0,1,50,0.92,0.038366652186501746,82.08
6-13-0-1-42-1,6,13.0,0.0,1,42,1,21,11,1,50,0.92,0.038366652186501746,85.14
5-14-6-2-51-1,5,14.0,6.0,2,51,1,32,11,1,50,0.92,0.038366652186501746,86.64
6-14-0-2-36-1,6,14.0,0.0,2,36,1,41,11,1,50,0.92,0.038366652186501746,88.86
5-14-2-1-38-2,5,14.0,2.0,1,38,2,39,22,1,50,0.92,0.038366652186501746,90.12
6-14-3-1-50-1,6,14.0,3.0,1,50,1,31,11,1,50,0.92,0.038366652186501746,89.96
5-14-2-2-42-1,5,14.0,2.0,2,42,1,33,21,2,50,0.9,0.04242640687119285,88.3
4-14-3-2-36-2,4,14.0,3.0,2,36,2,50,42,1,50,0.9,0.04242640687119285,86.98
6-12-2-2-51-0,6,12.0,2.0,2,51,0,12,0,1,50,0.9,0.04242640687119285,81.96
4-14-3-2-33-2,4,14.0,3.0,2,33,2,38,22,1,50,0.9,0.04242640687119285,82.18
5-12-0-2-40-1,5,12.0,0.0,2,40,1,21,11,1,50,0.9,0.04242640687119285,84.64
7-11-2-1-48-1,7,11.0,2.0,1,48,1,41,11,1,50,0.9,0.04242640687119285,86.9
