signature,trump_count,strongest_trump_rank,weakest_trump_rank,max_suit_run,total_points,non_trump_points,hand_instances,games,win_rate,win_rate_std,avg_points
6-0-7-1-20,6,0.0,7.0,1,20,4,1,50,1.0,0.0,100.32
5-0-11-2-51,5,0.0,11.0,2,51,32,1,50,1.0,0.0,99.78
6-0-10-1-39,6,0.0,10.0,1,39,14,1,50,0.96,0.02771281292110205,92.42
6-0-11-1-21,6,0.0,11.0,1,21,0,1,50,0.96,0.02771281292110205,90.5
7-0-12-1-34,7,0.0,12.0,1,34,4,1,50,0.96,0.02771281292110205,92.38
5-1-8-2-26,5,1.0,8.0,2,26,4,1,50,0.94,0.03358571124749334,80.5
6-0-11-1-19,6,0.0,11.0,1,19,4,1,50,0.92,0.038366652186501746,88.5
5-0-9-3-42,5,0.0,9.0,3,42,21,1,50,0.92,0.038366652186501746,92.88
6-0-13-1-18,6,0.0,13.0,1,18,10,1,50,0.88,0.04595650117230423,84.32
4-0-12-2-30,4,0.0,12.0,2,30,22,1,50,0.88,0.04595650117230423,81.28
4-0-7-2-32,4,0.0,7.0,2,32,21,1,50,0.86,0.04907137658554119,81.92
5-0-10-2-28,5,0.0,10.0,2,28,15,1,50,0.86,0.04907137658554119,82.32
5-0-11-2-19,5,0.0,11.0,2,19,0,1,50,0.84,0.051845925587262885,75.02
4-0-12-2-34,4,0.0,12.0,2,34,25,1,50,0.84,0.051845925587262885,83.76
3-0-12-2-48,3,0.0,12.0,2,48,42,1,50,0.84,0.051845925587262885,76.86
5-0-13-2-39,5,0.0,13.0,2,39,31,1,50,0.84,0.051845925587262885,85.46
5-1-10-2-24,5,1.0,10.0,2,24,10,1,50,0.84,0.051845925587262885,83.54
6-2-10-2-25,6,2.0,10.0,2,25,0,1,50,0.84,0.051845925587262885,78.48
5-0-13-2-32,5,0.0,13.0,2,32,11,1,50,0.82,0.054332310828824504,81.12
5-0-13-1-32,5,0.0,13.0,1,32,20,1,50,0.82,0.054332310828824504,83.2
5-0-9-3-31,5,0.0,9.0,3,31,11,1,50,0.82,0.054332310828824504,78.86
4-0-12-2-19,4,0.0,12.0,2,19,11,1,50,0.82,0.054332310828824504,81.82
5-0-13-2-17,5,0.0,13.0,2,17,8,1,50,0.8,0.0565685424949238,77.24
6-0-12-1-29,6,0.0,12.0,1,29,10,1,50,0.78,0.05858327406350723,76.9
5-4-12-2-46,5,4.0,12.0,2,46,31,1,50,0.78,0.05858327406350723,72.16
5-2-12-1-20,5,2.0,12.0,1,20,11,1,50,0.78,0.05858327406350723,77.64
6-3-13-2-19,6,3.0,13.0,2,19,10,1,50,0.78,0.05858327406350723,74.88
3-0-3-3-23,3,0.0,3.0,3,23,14,1,50,0.76,0.060398675482166,73.62
4-1-11-2-33,4,1.0,11.0,2,33,25,1,50,0.76,0.060398675482166,75.72
5-2-10-1-14,5,2.0,10.0,1,14,0,1,50,0.74,0.06203224967708329,76.04
4-0-8-2-41,4,0.0,8.0,2,41,21,1,50,0.74,0.06203224967708329,78.18
5-0-10-2-36,5,0.0,10.0,2,36,15,1,50,0.74,0.06203224967708329,75.4
3-1-7-3-49,3,1.0,7.0,3,49,42,1,50,0.72,0.06349803146555018,71.18
4-2-8-2-48,4,2.0,8.0,2,48,29,1,50,0.72,0.06349803146555018,76.84
5-0-10-1-22,5,0.0,10.0,1,22,0,1,50,0.72,0.06349803146555018,71.66
4-8-13-2-33,4,8.0,13.0,2,33,22,1,50,0.7,0.06480740698407861,70.2
3-0-5-3-36,3,0.0,5.0,3,36,28,1,50,0.7,0.06480740698407861,68.86
4-3-7-2-31,4,3.0,7.0,2,31,22,1,50,0.7,0.06480740698407861,73.04
5-2-11-1-32,5,2.0,11.0,1,32,14,1,50,0.7,0.06480740698407861,69.7
5-1-9-2-23,5,1.0,9.0,2,23,4,1,50,0.7,0.06480740698407861,72.74
4-3-9-2-48,4,3.0,9.0,2,48,22,1,50,0.7,0.06480740698407861,68.1
5-0-13-2-35,5,0.0,13.0,2,35,11,1,50,0.7,0.06480740698407861,72.3
5-3-12-1-37,5,3.0,12.0,1,37,11,1,50,0.68,0.06596969000988256,67.3
3-0-12-2-37,3,0.0,12.0,2,37,32,1,50,0.68,0.06596969000988256,71.14
4-1-10-2-26,4,1.0,10.0,2,26,14,1,50,0.68,0.06596969000988256,68.38
5-0-13-1-27,5,0.0,13.0,1,27,0,1,50,0.66,0.0669925368977769,68.64
5-3-13-1-34,5,3.0,13.0,1,34,18,1,50,0.66,0.0669925368977769,72.04
5-2-10-1-17,5,2.0,10.0,1,17,4,1,50,0.66,0.0669925368977769,69.42
5-0-9-1-29,5,0.0,9.0,1,29,10,1,50,0.66,0.0669925368977769,76.42
4-1-11-2-12,4,1.0,11.0,2,12,4,1,50,0.66,0.0669925368977769,67.84
4-0-9-2-39,4,0.0,9.0,2,39,22,1,50,0.66,0.0669925368977769,71.52
4-0-10-3-30,4,0.0,10.0,3,30,18,1,50,0.64,0.06788225099390856,69.52
5-2-12-2-34,5,2.0,12.0,2,34,15,1,50,0.62,0.06864400920692205,70.56
4-1-13-2-30,4,1.0,13.0,2,30,21,1,50,0.62,0.06864400920692205,67.58
4-1-11-2-28,4,1.0,11.0,2,28,11,1,50,0.62,0.06864400920692205,69.44
4-0-12-2-20,4,0.0,12.0,2,20,4,2,100,0.62,0.048538644398046386,69.26
3-1-4-3-18,3,1.0,4.0,3,18,10,1,50,0.62,0.06864400920692205,66.98
4-3-12-2-26,4,3.0,12.0,2,26,19,1,50,0.62,0.06864400920692205,63.66
3-1-11-2-25,3,1.0,11.0,2,25,19,1,50,0.6,0.06928203230275509,62.9
4-3-13-2-37,4,3.0,13.0,2,37,21,1,50,0.6,0.06928203230275509,67.8
4-2-11-2-31,4,2.0,11.0,2,31,21,1,50,0.6,0.06928203230275509,70.12
5-4-11-1-25,5,4.0,11.0,1,25,8,1,50,0.6,0.06928203230275509,65.64
4-0-10-3-22,4,0.0,10.0,3,22,10,1,50,0.6,0.06928203230275509,65.8
3-0-11-3-35,3,0.0,11.0,3,35,29,1,50,0.6,0.06928203230275509,66.46
4-0-7-2-34,4,0.0,7.0,2,34,24,1,50,0.6,0.06928203230275509,67.9
4-3-8-3-32,4,3.0,8.0,3,32,14,1,50,0.6,0.06928203230275509,64.0
3-2-12-2-44,3,2.0,12.0,2,44,30,1,50,0.58,0.06979971346646059,59.36
4-1-13-2-26,4,1.0,13.0,2,26,18,1,50,0.58,0.06979971346646059,67.3
4-1-12-2-28,4,1.0,12.0,2,28,21,1,50,0.58,0.06979971346646059,64.88
4-2-11-2-46,4,2.0,11.0,2,46,29,1,50,0.58,0.06979971346646059,63.42
6-1-12-2-21,6,1.0,12.0,2,21,10,1,50,0.58,0.06979971346646059,71.54
3-0-11-3-24,3,0.0,11.0,3,24,18,1,50,0.58,0.06979971346646059,66.28
4-3-13-3-29,4,3.0,13.0,3,29,22,2,100,0.58,0.04935585071701227,64.02
4-0-13-2-21,4,0.0,13.0,2,21,14,1,50,0.58,0.06979971346646059,66.2
4-2-10-2-41,4,2.0,10.0,2,41,21,1,50,0.56,0.07019971509913697,62.18
3-1-6-3-38,3,1.0,6.0,3,38,30,1,50,0.56,0.07019971509913697,63.2
4-1-11-3-46,4,1.0,11.0,3,46,31,1,50,0.56,0.07019971509913697,63.0
5-3-12-2-30,5,3.0,12.0,2,30,11,1,50,0.56,0.07019971509913697,63.22
4-4-12-3-34,4,4.0,12.0,3,34,21,1,50,0.56,0.07019971509913697,59.92
3-1-7-2-32,3,1.0,7.0,2,32,24,1,50,0.56,0.07019971509913697,65.62
4-3-13-2-21,4,3.0,13.0,2,21,14,1,50,0.56,0.07019971509913697,63.6
4-4-11-3-30,4,4.0,11.0,3,30,15,1,50,0.54,0.07048404074682439,61.08
