signature,trump_count,strongest_trump_strength,weakest_trump_strength,max_suit_run,trump_strength_sum,color_aces,total_points,non_trump_points,hand_instances,games,win_rate,win_rate_std,avg_points,hand_example
6-14-8-2-68-1,6,14.0,8.0,2,68,1,31,15,5,300,1.0,0.0,110.92333333333333,O_Acorn O_Heart A_Bell O_Leaf U_Heart K_Bell O_Bell U_Acorn
5-14-9-1-59-1,5,14.0,9.0,1,59,1,29,15,19,300,1.0,0.0,103.25333333333333,O_Bell 7_Bell U_Leaf A_Acorn O_Leaf O_Heart K_Leaf O_Acorn
8-13-4-0-72-0,8,13.0,4.0,0,72,0,30,0,1,300,1.0,0.0,107.57,K_Heart U_Bell U_Leaf A_Heart O_Bell O_Heart O_Leaf U_Acorn
6-14-2-1-55-2,6,14.0,2.0,1,55,2,44,22,4,300,1.0,0.0,104.53666666666666,O_Leaf A_Leaf O_Heart U_Heart 8_Heart A_Bell A_Heart O_Acorn
6-14-8-1-68-1,6,14.0,8.0,1,68,1,31,15,3,300,1.0,0.0,109.61666666666666,A_Acorn U_Acorn O_Leaf U_Heart O_Heart O_Bell O_Acorn K_Leaf
8-14-0-0-57-0,8,14.0,,0,57,0,31,0,11,300,1.0,0.0,102.49333333333334,A_Heart O_Acorn 8_Heart U_Acorn U_Bell O_Leaf 10_Heart 7_Heart
7-14-3-1-70-0,7,14.0,3.0,1,70,0,16,0,7,300,1.0,0.0,106.29666666666667,U_Leaf O_Leaf U_Heart 9_Bell 9_Heart O_Acorn O_Bell O_Heart
8-13-3-0-69-0,8,13.0,3.0,0,69,0,25,0,1,300,1.0,0.0,105.95333333333333,O_Bell 9_Heart U_Heart U_Acorn O_Heart O_Leaf 10_Heart U_Bell
8-14-5-0-73-0,8,14.0,5.0,0,73,0,36,0,1,300,1.0,0.0,109.63666666666667,U_Acorn U_Heart 10_Heart U_Bell O_Heart O_Acorn O_Bell A_Heart
5-14-2-1-52-2,5,14.0,2.0,1,52,2,44,32,3,300,1.0,0.0,109.89333333333333,10_Acorn O_Leaf A_Bell A_Leaf O_Acorn 8_Heart O_Heart O_Bell
7-14-2-1-68-0,7,14.0,2.0,1,68,0,16,0,11,300,1.0,0.0,105.03,O_Acorn O_Heart U_Bell O_Bell U_Leaf 8_Heart 7_Leaf O_Leaf
