signature,trump_count,strongest_trump_rank,weakest_trump_rank,max_suit_run,total_points,non_trump_points,hand_instances,games,win_rate,win_rate_std,avg_points
8-1-12-0-33,8,1.0,12.0,0,33,0,2,100,1.0,0.0,104.6
7-0-12-1-36,7,0.0,12.0,1,36,4,7,100,1.0,0.0,95.56
8-0-13-0-27,8,0.0,13.0,0,27,0,2,100,1.0,0.0,100.97
6-0-7-1-27,6,0.0,7.0,1,27,11,4,100,1.0,0.0,105.83
6-0-11-2-18,6,0.0,11.0,2,18,4,11,100,1.0,0.0,97.12
7-0-11-1-32,7,0.0,11.0,1,32,0,8,100,1.0,0.0,97.83
7-0-10-1-37,7,0.0,10.0,1,37,10,4,100,1.0,0.0,102.57
7-0-9-1-35,7,0.0,9.0,1,35,10,4,100,1.0,0.0,105.32
8-0-13-0-16,8,0.0,13.0,0,16,0,2,100,1.0,0.0,103.37
6-0-6-1-25,6,0.0,6.0,1,25,10,1,100,1.0,0.0,98.77
5-0-7-2-46,5,0.0,7.0,2,46,32,1,100,1.0,0.0,108.68
7-0-6-1-18,7,0.0,6.0,1,18,0,2,100,1.0,0.0,113.71
6-0-6-2-27,6,0.0,6.0,2,27,11,1,100,1.0,0.0,107.13
7-0-12-1-26,7,0.0,12.0,1,26,11,8,100,1.0,0.0,100.36
6-0-8-1-44,6,0.0,8.0,1,44,21,4,100,1.0,0.0,98.23
5-0-5-1-35,5,0.0,5.0,1,35,21,1,100,1.0,0.0,104.29
7-1-8-1-37,7,1.0,8.0,1,37,11,1,100,1.0,0.0,109.27
6-0-6-1-30,6,0.0,6.0,1,30,15,2,100,1.0,0.0,103.08
6-0-6-1-36,6,0.0,6.0,1,36,21,3,100,1.0,0.0,104.42
7-0-8-1-25,7,0.0,8.0,1,25,0,1,100,1.0,0.0,101.09
8-0-12-0-27,8,0.0,12.0,0,27,0,1,100,1.0,0.0,103.52
7-0-8-1-27,7,0.0,8.0,1,27,0,8,300,1.0,0.0,107.51
6-0-7-2-36,6,0.0,7.0,2,36,21,1,100,1.0,0.0,103.55
7-0-8-1-37,7,0.0,8.0,1,37,11,4,100,1.0,0.0,111.3
8-1-12-0-23,8,1.0,12.0,0,23,0,1,100,1.0,0.0,100.72
8-0-13-0-24,8,0.0,13.0,0,24,0,6,100,1.0,0.0,104.37
6-0-5-1-27,6,0.0,5.0,1,27,11,2,100,1.0,0.0,111.45
7-0-8-1-26,7,0.0,8.0,1,26,0,4,100,1.0,0.0,106.23
7-0-11-1-26,7,0.0,11.0,1,26,0,7,100,1.0,0.0,93.05
6-0-7-2-30,6,0.0,7.0,2,30,14,1,100,1.0,0.0,103.9
5-0-4-2-46,5,0.0,4.0,2,46,32,1,100,1.0,0.0,115.04
5-0-5-1-45,5,0.0,5.0,1,45,32,2,100,1.0,0.0,112.32
7-0-7-1-17,7,0.0,7.0,1,17,0,1,100,1.0,0.0,104.94
4-0-3-2-54,4,0.0,3.0,2,54,42,1,100,1.0,0.0,106.22
6-0-9-1-48,6,0.0,9.0,1,48,15,1,100,1.0,0.0,100.2
8-0-11-0-25,8,0.0,11.0,0,25,0,1,100,1.0,0.0,106.63
5-0-5-2-25,5,0.0,5.0,2,25,11,1,100,1.0,0.0,101.37
7-0-8-1-38,7,0.0,8.0,1,38,11,1,100,1.0,0.0,114.48
8-0-12-0-32,8,0.0,12.0,0,32,0,2,100,1.0,0.0,102.82
8-0-10-0-29,8,0.0,10.0,0,29,0,1,100,1.0,0.0,110.77
7-1-10-1-28,7,1.0,10.0,1,28,0,1,100,1.0,0.0,97.97
5-0-4-2-24,5,0.0,4.0,2,24,10,1,100,1.0,0.0,96.89
6-0-8-1-40,6,0.0,8.0,1,40,15,2,100,1.0,0.0,107.13
5-0-9-1-55,5,0.0,9.0,1,55,33,1,100,1.0,0.0,102.0
8-0-12-0-17,8,0.0,12.0,0,17,0,1,100,1.0,0.0,108.3
8-1-13-0-34,8,1.0,13.0,0,34,0,1,100,1.0,0.0,104.93
8-1-11-0-26,8,1.0,11.0,0,26,0,1,100,1.0,0.0,101.58
8-1-12-0-28,8,1.0,12.0,0,28,0,1,100,1.0,0.0,103.28
8-0-12-0-25,8,0.0,12.0,0,25,0,2,100,1.0,0.0,100.47
6-0-7-2-29,6,0.0,7.0,2,29,14,1,100,1.0,0.0,100.81
7-0-11-1-19,7,0.0,11.0,1,19,4,1,100,1.0,0.0,101.13
5-0-4-1-39,5,0.0,4.0,1,39,25,1,100,1.0,0.0,104.49
6-0-10-1-18,6,0.0,10.0,1,18,0,4,100,1.0,0.0,97.82
7-2-8-1-25,7,2.0,8.0,1,25,0,1,100,1.0,0.0,97.17
6-0-5-1-20,6,0.0,5.0,1,20,4,2,100,1.0,0.0,103.49
8-0-13-0-26,8,0.0,13.0,0,26,0,1,100,1.0,0.0,110.54
6-2-11-1-51,6,2.0,11.0,1,51,22,2,100,1.0,0.0,96.61
